Antigua 1943 / British West Indies Grid,2001,4601,19942,9807,0,-62,0.9995,400000,0,,
Dominica 1945 / British West Indies Grid,2002,4602,19942,9807,0,-62,0.9995,400000,0,,
Grenada 1953 / British West Indies Grid,2003,4603,19942,9807,0,-62,0.9995,400000,0,,
Montserrat 1958 / British West Indies Grid,2004,4604,19942,9807,0,-62,0.9995,400000,0,,
St. Kitts 1955 / British West Indies Grid,2005,4605,19942,9807,0,-62,0.9995,400000,0,,
St. Lucia 1955 / British West Indies Grid,2006,4606,19942,9807,0,-62,0.9995,400000,0,,
St. Vincent 45 / British West Indies Grid,2007,4607,19942,9807,0,-62,0.9995,400000,0,,
NAD83(CSRS98) / UTM zone 19N,2037,4140,16019,9807,0,-69,0.9996,500000,0,,
NAD83(CSRS98) / UTM zone 20N,2038,4140,16020,9807,0,-63,0.9996,500000,0,,
Israel 1993 / Israeli TM Grid,2039,4141,18204,9807,31.4403817,35.1216261,1.0000067,219529.584,626907.39,,
Locodjo 1965 / UTM zone 30N,2040,4142,16030,9807,0,-3,0.9996,500000,0,,
Abidjan 1987 / UTM zone 30N,2041,4143,16030,9807,0,-3,0.9996,500000,0,,
Locodjo 1965 / UTM zone 29N,2042,4142,16029,9807,0,-9,0.9996,500000,0,,
Abidjan 1987 / UTM zone 29N,2043,4143,16029,9807,0,-9,0.9996,500000,0,,
Hanoi 1972 / Gauss-Kruger zone 18,2044,4147,16218,9807,0,105,1,18500000,0,,
Hanoi 1972 / Gauss-Kruger zone 19,2045,4147,16219,9807,0,111,1,19500000,0,,
ED50(ED77) / UTM zone 38N,2058,4154,16038,9807,0,45,0.9996,500000,0,,
ED50(ED77) / UTM zone 39N,2059,4154,16039,9807,0,51,0.9996,500000,0,,
ED50(ED77) / UTM zone 40N,2060,4154,16040,9807,0,57,0.9996,500000,0,,
ED50(ED77) / UTM zone 41N,2061,4154,16041,9807,0,63,0.9996,500000,0,,
Dabola 1981 / UTM zone 28N,2063,4315,16028,9807,0,-15,0.9996,500000,0,,
Dabola 1981 / UTM zone 29N,2064,4315,16029,9807,0,-9,0.9996,500000,0,,
Naparima 1955 / UTM zone 20N,2067,4158,16020,9807,0,-63,0.9996,500000,0,,
ELD79 / Libya zone 5,2068,4159,18240,9807,0,9,0.9999,200000,0,,
